CMDLINE python Benchmark.py
MEM 2168.000000 1777130048.2702
MEM 2168.000000 1777130048.3707
MEM 2168.000000 1777130048.4711
MEM 2168.000000 1777130048.5716
MEM 2168.000000 1777130048.6721
MEM 2168.000000 1777130048.7727
MEM 2168.000000 1777130048.8732
MEM 2171.875000 1777130048.9738
MEM 2176.250000 1777130049.0743
MEM 2179.000000 1777130049.1747
MEM 2182.125000 1777130049.2753
MEM 2185.750000 1777130049.3758
MEM 2189.875000 1777130049.4763
MEM 2195.750000 1777130049.5769
MEM 2201.625000 1777130049.6775
MEM 2207.750000 1777130049.7780
MEM 2213.250000 1777130049.8784
MEM 2218.750000 1777130049.9788
MEM 2224.625000 1777130050.0792
MEM 2230.750000 1777130050.1795
MEM 2235.500000 1777130050.2799
MEM 2240.500000 1777130050.3803
MEM 2245.375000 1777130050.4807
MEM 2250.500000 1777130050.5812
MEM 2256.500000 1777130050.6815
MEM 2262.375000 1777130050.7821
MEM 2268.000000 1777130050.8824
MEM 2274.000000 1777130050.9828
MEM 2280.000000 1777130051.0832
MEM 2286.375000 1777130051.1836
MEM 2292.625000 1777130051.2840
MEM 2299.000000 1777130051.3846
MEM 2305.500000 1777130051.4850
MEM 2311.875000 1777130051.5853
MEM 2317.875000 1777130051.6857
MEM 2324.000000 1777130051.7861
MEM 2329.375000 1777130051.8866
MEM 2334.000000 1777130051.9870
MEM 2338.625000 1777130052.0873
MEM 2343.750000 1777130052.1877
MEM 2348.625000 1777130052.2881
MEM 2353.750000 1777130052.3886
MEM 2359.000000 1777130052.4890
MEM 2365.125000 1777130052.5894
MEM 2371.500000 1777130052.6898
MEM 2377.375000 1777130052.7903
MEM 2383.125000 1777130052.8907
MEM 2389.125000 1777130052.9913
MEM 2394.750000 1777130053.0919
MEM 2400.750000 1777130053.1923
MEM 2406.250000 1777130053.2927
MEM 2411.625000 1777130053.3934
MEM 2416.500000 1777130053.4939
MEM 2422.625000 1777130053.5942
MEM 2429.000000 1777130053.6947
MEM 2434.875000 1777130053.7951
MEM 2440.625000 1777130053.8958
MEM 2447.000000 1777130053.9964
MEM 2452.750000 1777130054.0968
MEM 2458.875000 1777130054.1973
MEM 2465.375000 1777130054.2977
MEM 2470.750000 1777130054.3981
MEM 2477.125000 1777130054.4984
MEM 2483.000000 1777130054.5989
MEM 2487.625000 1777130054.6993
MEM 2492.375000 1777130054.7997
MEM 2496.625000 1777130054.9001
MEM 2501.750000 1777130055.0005
MEM 2506.125000 1777130055.1010
MEM 2511.000000 1777130055.2014
